step,t_s,pn,pe,pd,vn,ve,vd,err_pos_m,update_ok
56,0.570,-1472.8275,329.9956,-112.5335,-288.9133,-117.1136,-747.0387,1516.3804,0
57,0.580,-1475.7167,328.8245,-120.0039,-288.9133,-117.1136,-747.0387,1519.5742,0
58,0.590,-1478.6058,327.6534,-127.4743,-288.9133,-117.1136,-747.0387,1522.8042,0
59,0.600,-1481.4950,326.4822,-134.9447,-288.9133,-117.1136,-747.0387,1526.0701,0
60,0.610,-1484.3842,325.3111,-142.4151,-288.9133,-117.1136,-747.0387,1529.3718,0
61,0.620,-1487.2733,324.1399,-149.8855,-288.9133,-117.1136,-747.0387,1532.7090,0
62,0.630,-1490.1625,322.9688,-157.3558,-288.9133,-117.1136,-747.0387,1536.0813,0
63,0.640,-1493.0516,321.7976,-164.8262,-288.9133,-117.1136,-747.0387,1539.4888,0
64,0.650,-1495.9408,320.6265,-172.2966,-288.9133,-117.1136,-747.0387,1542.9309,0
65,0.660,-1498.8300,319.4554,-179.7670,-288.9133,-117.1136,-747.0387,1546.4077,0
66,0.670,-1501.7191,318.2842,-187.2374,-288.9133,-117.1136,-747.0387,1549.9187,0
67,0.680,-1504.6083,317.1131,-194.7077,-288.9133,-117.1136,-747.0387,1553.4639,0
68,0.690,-1507.4974,315.9419,-202.1781,-288.9133,-117.1136,-747.0387,1557.0430,0
69,0.700,-1510.3866,314.7708,-209.6485,-288.9133,-117.1136,-747.0387,1560.6555,0
70,0.710,-1513.2758,313.5996,-217.1189,-288.9133,-117.1136,-747.0387,1564.3015,0
71,0.720,-1516.1649,312.4285,-224.5893,-288.9133,-117.1136,-747.0387,1567.9806,0
72,0.730,-1519.0541,311.2574,-232.0597,-288.9133,-117.1136,-747.0387,1571.6929,0
73,0.740,-1521.9432,310.0862,-239.5300,-288.9133,-117.1136,-747.0387,1575.4376,0
74,0.750,-1524.8324,308.9151,-247.0004,-288.9133,-117.1136,-747.0387,1579.2147,0
75,0.760,-1527.7216,307.7439,-254.4708,-288.9133,-117.1136,-747.0387,1583.0242,0
76,0.770,-1530.6107,306.5728,-261.9412,-288.9133,-117.1136,-747.0387,1586.8656,0
77,0.780,-1533.4999,305.4016,-269.4116,-288.9133,-117.1136,-747.0387,1590.7390,0
78,0.790,-1536.3890,304.2305,-276.8820,-288.9133,-117.1136,-747.0387,1594.6436,0
79,0.800,-1539.2782,303.0594,-284.3524,-288.9133,-117.1136,-747.0387,1598.5796,0
80,0.810,-1542.1674,301.8882,-291.8228,-288.9133,-117.1136,-747.0387,1602.5468,0
81,0.820,-1545.0565,300.7171,-299.2932,-288.9133,-117.1136,-747.0387,1606.5448,0
82,0.830,-1547.9457,299.5459,-306.7636,-288.9133,-117.1136,-747.0387,1610.5732,0
83,0.840,-1550.8348,298.3748,-314.2340,-288.9133,-117.1136,-747.0387,1614.6322,0
84,0.850,-1553.7240,297.2036,-321.7044,-288.9133,-117.1136,-747.0387,1618.7212,0
85,0.860,-1556.6132,296.0325,-329.1748,-288.9133,-117.1136,-747.0387,1622.8403,0
86,0.870,-1559.5023,294.8614,-336.6452,-288.9133,-117.1136,-747.0387,1626.9889,0
87,0.880,-1562.3915,293.6902,-344.1156,-288.9133,-117.1136,-747.0387,1631.1671,0
88,0.890,-1565.2806,292.5191,-351.5860,-288.9133,-117.1136,-747.0387,1635.3744,0
89,0.900,-1568.1698,291.3479,-359.0564,-288.9133,-117.1136,-747.0387,1639.6110,0
90,0.910,-1571.0590,290.1768,-366.5268,-288.9133,-117.1136,-747.0387,1643.8761,0
91,0.920,-1573.9481,289.0056,-373.9972,-288.9133,-117.1136,-747.0387,1648.1699,0
92,0.930,-1576.8373,287.8345,-381.4676,-288.9133,-117.1136,-747.0387,1652.4919,0
93,0.940,-1579.7264,286.6634,-388.9380,-288.9133,-117.1136,-747.0387,1656.8423,0
94,0.950,-1582.6156,285.4922,-396.4084,-288.9133,-117.1136,-747.0387,1661.2205,0
95,0.960,-1585.5048,284.3211,-403.8788,-288.9133,-117.1136,-747.0387,1665.6262,0
96,0.970,-1588.3939,283.1499,-411.3492,-288.9133,-117.1136,-747.0387,1670.0596,0
97,0.980,-1591.2831,281.9788,-418.8195,-288.9133,-117.1136,-747.0387,1674.5201,0
98,0.990,-1594.1722,280.8076,-426.2899,-288.9133,-117.1136,-747.0387,1679.0078,0
99,1.000,-1597.0614,279.6365,-433.7603,-288.9133,-117.1136,-747.0387,1683.5221,0
100,1.010,-1599.9506,278.4654,-441.2307,-288.9133,-117.1136,-747.0387,1688.0631,0
101,1.020,-1602.8397,277.2942,-448.7011,-288.9133,-117.1136,-747.0387,1692.6304,0
102,1.030,-1605.7289,276.1231,-456.1715,-288.9133,-117.1136,-747.0387,1697.2240,0
103,1.040,-1608.6180,274.9519,-463.6419,-288.9133,-117.1136,-747.0387,1701.8435,0
104,1.050,-1611.5072,273.7808,-471.1123,-288.9133,-117.1136,-747.0387,1706.4888,0
105,1.060,-1614.3964,272.6096,-478.5827,-288.9133,-117.1136,-747.0387,1711.1594,0
106,1.070,-1617.2855,271.4385,-486.0531,-288.9133,-117.1136,-747.0387,1715.8556,0
107,1.080,-1620.1747,270.2674,-493.5235,-288.9133,-117.1136,-747.0387,1720.5769,0
108,1.090,-1623.0638,269.0962,-500.9939,-288.9133,-117.1136,-747.0387,1725.3230,0
109,1.100,-1625.9530,267.9251,-508.4643,-288.9133,-117.1136,-747.0387,1730.0939,0
110,1.110,-1628.8422,266.7539,-515.9347,-288.9133,-117.1136,-747.0387,1734.8894,0
111,1.120,-1631.7313,265.5828,-523.4051,-288.9133,-117.1136,-747.0387,1739.7090,0
112,1.130,-1634.6205,264.4117,-530.8755,-288.9133,-117.1136,-747.0387,1744.5529,0
113,1.140,-1637.5096,263.2405,-538.3459,-288.9133,-117.1136,-747.0387,1749.4204,0
114,1.150,-1640.3988,262.0694,-545.8163,-288.9133,-117.1136,-747.0387,1754.3119,0
115,1.160,-1643.2880,260.8982,-553.2867,-288.9133,-117.1136,-747.0387,1759.2268,0
116,1.170,-1646.1771,259.7271,-560.7571,-288.9133,-117.1136,-747.0387,1764.1649,0
