step,t_s,pn,pe,pd,vn,ve,vd,range,az,el,doppler,innov_r,innov_az,innov_el,innov_dop,update_ok
45,0.460,-nan,-nan,-nan,-nan,-nan,-nan,19.8363,0.0000,-1.4890,0.7433,19.83526,-nan,nan,-nan,1
46,0.470,-nan,-nan,-nan,-nan,-nan,-nan,19.8288,0.0000,-1.4905,0.7389,19.82785,-nan,nan,-nan,1
47,0.480,-nan,-nan,-nan,-nan,-nan,-nan,19.8215,0.0000,-1.4920,0.7346,19.82048,-nan,nan,-nan,1
48,0.490,-nan,-nan,-nan,-nan,-nan,-nan,19.8142,0.0000,-1.4935,0.7302,19.81316,-nan,nan,-nan,1
49,0.500,-nan,-nan,-nan,-nan,-nan,-nan,19.8069,0.0000,-1.4950,0.7258,19.80588,-nan,nan,-nan,1
50,0.510,-nan,-nan,-nan,-nan,-nan,-nan,19.7996,0.0000,-1.4965,0.7214,19.79864,-nan,nan,-nan,1
51,0.520,-nan,-nan,-nan,-nan,-nan,-nan,19.7925,0.0000,-1.4980,0.7169,19.79145,-nan,nan,-nan,1
52,0.530,-nan,-nan,-nan,-nan,-nan,-nan,19.7853,0.0000,-1.4995,0.7125,19.78431,-nan,nan,-nan,1
53,0.540,-nan,-nan,-nan,-nan,-nan,-nan,19.7782,0.0000,-1.5010,0.7081,19.77720,-nan,nan,-nan,1
54,0.550,-nan,-nan,-nan,-nan,-nan,-nan,19.7711,0.0000,-1.5025,0.7037,19.77015,-nan,nan,-nan,1
55,0.560,-nan,-nan,-nan,-nan,-nan,-nan,19.7641,0.0000,-1.5040,0.6992,19.76313,-nan,nan,-nan,1
56,0.570,-nan,-nan,-nan,-nan,-nan,-nan,19.7572,0.0000,-1.5055,0.6948,19.75616,-nan,nan,-nan,1
57,0.580,-nan,-nan,-nan,-nan,-nan,-nan,19.7502,0.0000,-1.5070,0.6904,19.74923,-nan,nan,-nan,1
58,0.590,-nan,-nan,-nan,-nan,-nan,-nan,19.7434,0.0000,-1.5085,0.6859,19.74235,-nan,nan,-nan,1
59,0.600,-nan,-nan,-nan,-nan,-nan,-nan,19.7365,0.0000,-1.5100,0.6815,19.73552,-nan,nan,-nan,1
60,0.610,-nan,-nan,-nan,-nan,-nan,-nan,19.7297,0.0000,-1.5115,0.6770,19.72872,-nan,nan,-nan,1
61,0.620,-nan,-nan,-nan,-nan,-nan,-nan,19.7230,0.0000,-1.5130,0.6726,19.72197,-nan,nan,-nan,1
62,0.630,-nan,-nan,-nan,-nan,-nan,-nan,19.7163,0.0000,-1.5145,0.6681,19.71527,-nan,nan,-nan,1
63,0.640,-nan,-nan,-nan,-nan,-nan,-nan,19.7096,0.0000,-1.5160,0.6636,19.70861,-nan,nan,-nan,1
64,0.650,-nan,-nan,-nan,-nan,-nan,-nan,19.7030,0.0000,-1.5175,0.6592,19.70200,-nan,nan,-nan,1
65,0.660,-nan,-nan,-nan,-nan,-nan,-nan,19.6964,0.0000,-1.5190,0.6547,19.69543,-nan,nan,-nan,1
66,0.670,-nan,-nan,-nan,-nan,-nan,-nan,19.6899,0.0000,-1.5205,0.6502,19.68891,-nan,nan,-nan,1
67,0.680,-nan,-nan,-nan,-nan,-nan,-nan,19.6834,0.0000,-1.5220,0.6457,19.68242,-nan,nan,-nan,1
68,0.690,-nan,-nan,-nan,-nan,-nan,-nan,19.6770,0.0000,-1.5235,0.6412,19.67599,-nan,nan,-nan,1
69,0.700,-nan,-nan,-nan,-nan,-nan,-nan,19.6706,0.0000,-1.5250,0.6367,19.66960,-nan,nan,-nan,1
70,0.710,-nan,-nan,-nan,-nan,-nan,-nan,19.6643,0.0000,-1.5265,0.6322,19.66326,-nan,nan,-nan,1
71,0.720,-nan,-nan,-nan,-nan,-nan,-nan,19.6580,0.0000,-1.5281,0.6277,19.65696,-nan,nan,-nan,1
72,0.730,-nan,-nan,-nan,-nan,-nan,-nan,19.6517,0.0000,-1.5296,0.6232,19.65070,-nan,nan,-nan,1
73,0.740,-nan,-nan,-nan,-nan,-nan,-nan,19.6455,0.0000,-1.5311,0.6187,19.64449,-nan,nan,-nan,1
74,0.750,-nan,-nan,-nan,-nan,-nan,-nan,19.6393,0.0000,-1.5326,0.6142,19.63833,-nan,nan,-nan,1
75,0.760,-nan,-nan,-nan,-nan,-nan,-nan,19.6332,0.0000,-1.5341,0.6097,19.63221,-nan,nan,-nan,1
76,0.770,-nan,-nan,-nan,-nan,-nan,-nan,19.6271,0.0000,-1.5356,0.6052,19.62613,-nan,nan,-nan,1
77,0.780,-nan,-nan,-nan,-nan,-nan,-nan,19.6211,0.0000,-1.5372,0.6006,19.62011,-nan,nan,-nan,1
78,0.790,-nan,-nan,-nan,-nan,-nan,-nan,19.6151,0.0000,-1.5387,0.5961,19.61412,-nan,nan,-nan,1
79,0.800,-nan,-nan,-nan,-nan,-nan,-nan,19.6092,0.0000,-1.5402,0.5916,19.60818,-nan,nan,-nan,1
80,0.810,-nan,-nan,-nan,-nan,-nan,-nan,19.6033,0.0000,-1.5417,0.5870,19.60229,-nan,nan,-nan,1
81,0.820,-nan,-nan,-nan,-nan,-nan,-nan,19.5974,0.0000,-1.5432,0.5825,19.59644,-nan,nan,-nan,1
82,0.830,-nan,-nan,-nan,-nan,-nan,-nan,19.5916,0.0000,-1.5448,0.5779,19.59064,-nan,nan,-nan,1
83,0.840,-nan,-nan,-nan,-nan,-nan,-nan,19.5859,0.0000,-1.5463,0.5734,19.58488,-nan,nan,-nan,1
84,0.850,-nan,-nan,-nan,-nan,-nan,-nan,19.5802,0.0000,-1.5478,0.5688,19.57917,-nan,nan,-nan,1
85,0.860,-nan,-nan,-nan,-nan,-nan,-nan,19.5745,0.0000,-1.5493,0.5643,19.57351,-nan,nan,-nan,1
86,0.870,-nan,-nan,-nan,-nan,-nan,-nan,19.5689,0.0000,-1.5509,0.5597,19.56789,-nan,nan,-nan,1
