config,step,pos_error_m
shipped,0,1.27919
shipped,1,1.89799
shipped,2,996.85291
shipped,3,996.13141
shipped,4,995.42371
shipped,5,994.73004
shipped,6,994.05023
shipped,7,993.38440
shipped,8,992.73267
shipped,9,992.09491
shipped,10,991.47113
shipped,11,990.86151
shipped,12,990.26599
shipped,13,989.68457
shipped,14,989.11743
shipped,15,988.56433
shipped,16,988.02545
shipped,17,987.50092
shipped,18,986.99054
shipped,19,986.49445
shipped,20,986.01263
shipped,21,985.54523
shipped,22,985.09210
shipped,23,984.65332
shipped,24,984.22894
shipped,25,983.81897
shipped,26,983.42340
shipped,27,983.04224
shipped,28,982.67554
shipped,29,982.32330
