step,t_s,pn,pe,pd,vn,ve,vd,range,az,el,doppler,innov_r,innov_az,innov_el,innov_dop,update_ok
44,0.450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8437,0.0000,-1.4876,0.7477,nan,nan,nan,nan,0
45,0.460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8363,0.0000,-1.4890,0.7433,nan,nan,nan,nan,0
46,0.470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8288,0.0000,-1.4905,0.7389,nan,nan,nan,nan,0
47,0.480,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8215,0.0000,-1.4920,0.7346,nan,nan,nan,nan,0
48,0.490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8142,0.0000,-1.4935,0.7302,nan,nan,nan,nan,0
49,0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8069,0.0000,-1.4950,0.7258,nan,nan,nan,nan,0
50,0.510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7996,0.0000,-1.4965,0.7214,nan,nan,nan,nan,0
51,0.520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7925,0.0000,-1.4980,0.7169,nan,nan,nan,nan,0
52,0.530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7853,0.0000,-1.4995,0.7125,nan,nan,nan,nan,0
53,0.540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7782,0.0000,-1.5010,0.7081,nan,nan,nan,nan,0
54,0.550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7711,0.0000,-1.5025,0.7037,nan,nan,nan,nan,0
55,0.560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7641,0.0000,-1.5040,0.6992,nan,nan,nan,nan,0
56,0.570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7572,0.0000,-1.5055,0.6948,nan,nan,nan,nan,0
57,0.580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7502,0.0000,-1.5070,0.6904,nan,nan,nan,nan,0
